Clapeyron Database File
c-PR parameters [csvtype = single,sep = ;]
species;Mw;Tc;Pc;L;M;N
2-pentyl-2-nonenal~|~2-nonenal, 2-pentyl-;210.361;724.0;1.67451992e6;0.714343242;0.853966798;1.85158774
2,4,4-trimethyl-1-pentene;112.216;551.6;2.751173065e6;0.922943026;0.92456343;0.844914678
1-tert-butoxy-2-propanol~|~1-(1,1-dimethylethoxy)-2-propanol~|~propylene glycol 1-tert-butyl ether;132.203;600.7;2.729091277e6;0.113225731;0.804457435;3.485049824
2-benzylpyridine;169.227;772.0;3.098338996e6;0.527959263;0.856407825;2.105928488
1-fluoro-3-(trifluoromethyl)benzene;164.1026127;550.0;3.231357261e6;0.230117324;0.828065291;2.503203185
2-(1,2-dimethylpropyl)-5,6-dimethyl-2-heptenal;210.361;700.0;1.471678197e6;0.798545733;0.848253068;1.518293344
methyl-4-formylbenzoate~|~methyl 4-formylbenzoate~|~terephthalaldehydic acid methyl ester;164.16;745.0;3.268234341e6;0.466087802;0.850746759;2.537211682
perfluoro-2-methyl-butane~|~butane, nonafluoro-2-(trifluoromethyl)-;288.035838;423.0;2.123585304e6;0.223706545;0.822727335;2.806356258
methyl p-cyanobenzoate;161.16;792.0;3.245996433e6;1.334601605;0.896081623;0.713624496
1,1,1,2,2,3,4,5,5,5-decafluoropentane;252.0550316;457.0;2.125596723e6;1.549962554;0.411160195;0.707484408
8-methylquinoline;143.189;787.0;4.21255976e6;0.460176604;0.815445288;1.536004805
cis-3-hexene~|~(e)-3-hexene~|~trans-3-hexene;84.162;507.4;3.319978701e6;0.67259803;0.91325969;1.209395649
4-bromophenol;173.009;740.0180619;4.151176588e6;0.543751031;0.805807675;1.727737457
tetrakis(trimethylsilyl) silicate;384.841;622.55874;1.022677821e6;0.269743777;0.809316314;3.360136853
bicyclo[4.1.0]hept-3-ene, 3,7,7-trimethyl-, (1s,6r)-;136.238;658.0;3.035796266e6;1.023150705;0.892740798;0.791839889
2-chloro-2-(difluoromethoxy)-1,1,1-trifluoroethane;184.4900158;467.76022;3.045965433e6;1.099134432;0.948908325;0.844186128
r245ca~|~1,1,2,2,3-pentafluoropropane;134.0490158;447.57;3.942868209e6;0.156005226;0.828282282;2.937271981
3-bromo-1-propene;120.977;541.5;4.84035702e6;0.147485433;0.846693683;2.602875909
benzothiazole;135.184;775.0;4.543771159e6;0.531792568;0.819841831;1.360874853
3,4-dimethylpentanal;114.188;604.0;2.815515925e6;0.465003108;0.81614512;1.614739172
methyl 4-chlorobenzoate;170.592;720.0;3.570676542e6;1.062004018;0.929550115;0.999833727
2,4-dimethyl-1-pentene;98.189;527.0;2.961728006e6;0.620033767;0.844221427;1.142153791
n-hydroxydiethylamine~|~n,n-diethylhydroxylamine;89.138;572.0;4.331346572e6;1.426616284;0.999928842;0.905270052
2'-acetoxyacetophenone;178.187;744.0;2.910080059e6;1.040168552;0.899172613;1.218714508
3-ethyl-3-methylpentane~|~3-methyl-3-ethylpentane;114.232;576.544336;2.805828578e6;0.274463175;0.835683583;2.096289148
o-diethylbenzene~|~1,2-diethylbenzene;134.222;659.0;2.826247436e6;0.294588423;0.814187883;2.213452994
1,1,1,2,2-pentafluoropentan-3-one;176.0860158;475.54;2.641902158e6;0.343962876;0.718800293;1.752395974
1,2-dichlorobutane;127.008;608.0;3.961223194e6;1.099347903;0.997018546;0.687272127
n,n-dimethylnicotinamide;150.181;806.0;3.969594123e6;1.173813861;0.950371307;0.964661281
(-)-verbenone;150.221;696.0;3.002439482e6;1.141073031;0.99998302;0.994473872
boron tribromide;250.522;573.184;4.509750236e6;0.335210356;0.8303156;1.513639419
cyclononanone;140.226;717.0;2.620946841e6;0.275363605;0.8230595;2.141690062
1-chloro-2-ethylhexane;148.674;629.6;2.340625623e6;1.196019931;0.989065542;0.792250406
1-chloro-1,1,3,3,3-pentafluoro-2-propanone;182.4740158;410.6315;2.88799081e6;0.814691514;0.856182051;1.006794693
propanedinitrile, dimethyl-;94.117;672.0;4.221151022e6;0.414270545;0.813323087;1.620177062
